0 [143, 12, 79]
0 [104, 57, 155]
0 [104, 57, 100]
0 [104, 155, 100]
0 [57, 155, 100]
0 [74, 18, 114]
0 [74, 18, 95]
0 [74, 114, 95]
0 [18, 114, 95]
0 [56, 42, 99]
0 [56, 42, 132]
0 [56, 99, 132]
0 [42, 99, 132]
0 [19, 147, 77]
0 [19, 147, 151]
0 [19, 77, 151]
0 [147, 77, 151]
0 [57, 122, 148]
0 [57, 122, 140]
0 [57, 122, 71]
0 [57, 148, 140]
0 [57, 148, 71]
0 [57, 140, 71]
0 [122, 148, 140]
0 [122, 148, 71]
0 [122, 140, 71]
0 [148, 140, 71]
0 [128, 81, 58]
0 [128, 81, 129]
0 [128, 81, 31]
0 [128, 58, 129]
0 [128, 58, 31]
0 [128, 129, 31]
0 [81, 58, 129]
0 [81, 58, 31]
0 [81, 129, 31]
0 [58, 129, 31]
0 [114, 108, 53]
0 [114, 108, 38]
0 [114, 108, 166]
0 [114, 53, 38]
0 [114, 53, 166]
0 [114, 38, 166]
0 [108, 53, 38]
0 [108, 53, 166]
0 [108, 38, 166]
0 [53, 38, 166]
0 [160, 137, 67]
0 [160, 137, 46]
0 [160, 137, 142]
0 [160, 67, 46]
0 [160, 67, 142]
0 [160, 46, 142]
0 [137, 67, 46]
0 [137, 67, 142]
0 [137, 46, 142]
0 [67, 46, 142]
0 [65, 83, 164]
0 [65, 83, 116]
0 [65, 83, 36]
0 [65, 164, 116]
0 [65, 164, 36]
0 [65, 116, 36]
0 [83, 164, 116]
0 [83, 164, 36]
0 [83, 116, 36]
0 [164, 116, 36]
1 [156, 61, 165]
1 [26, 139, 159]
1 [34, 5, 102]
1 [128, 50, 58]
1 [10, 163, 60]
1 [91, 68, 134]
1 [24, 60, 156]
1 [64, 26, 159]
1 [64, 17, 159]
1 [19, 84, 151]
1 [81, 149, 31]
1 [64, 17, 150]
1 [161, 162, 55]
1 [102, 5, 94]
1 [36, 86, 111]
1 [10, 59, 163]
1 [9, 165, 158]
1 [21, 78, 142]
1 [145, 141, 23]
1 [143, 29, 79]
1 [136, 91, 68]
1 [18, 166, 95]
1 [19, 147, 47]
1 [9, 165, 61]
1 [128, 81, 50]
1 [16, 136, 44]
1 [33, 94, 105]
1 [153, 3, 134]
1 [113, 146, 75]
1 [83, 90, 27]
1 [126, 78, 39]
1 [129, 52, 149]
1 [152, 59, 163]
1 [91, 44, 134]
1 [112, 20, 69]
1 [132, 42, 4]
1 [72, 157, 6]
1 [50, 141, 23]
1 [18, 43, 95]
1 [122, 148, 71]
1 [152, 27, 59]
1 [24, 156, 61]
1 [56, 106, 132]
1 [147, 109, 47]
1 [112, 121, 20]
1 [72, 120, 157]
1 [130, 20, 45]
1 [160, 67, 7]
1 [8, 69, 127]
1 [160, 67, 142]
1 [88, 35, 133]
1 [32, 85, 15]
1 [161, 55, 143]
1 [33, 5, 94]
1 [148, 108, 71]
1 [11, 108, 71]
1 [90, 86, 7]
1 [123, 54, 126]
1 [154, 19, 151]
1 [1, 92, 54]
1 [47, 147, 127]
1 [98, 115, 54]
1 [32, 85, 118]
1 [127, 109, 47]
1 [123, 92, 39]
1 [128, 50, 141]
1 [120, 72, 30]
1 [72, 6, 135]
1 [108, 53, 166]
1 [34, 110, 15]
1 [100, 51, 155]
1 [74, 43, 18]
1 [74, 43, 95]
1 [74, 18, 95]
1 [43, 18, 95]
1 [135, 117, 6]
1 [135, 117, 157]
1 [135, 6, 157]
1 [117, 6, 157]
1 [47, 109, 77]
1 [47, 109, 127]
1 [47, 77, 127]
1 [109, 77, 127]
1 [96, 73, 2]
1 [96, 73, 89]
1 [96, 2, 89]
1 [73, 2, 89]
1 [88, 35, 101]
1 [88, 35, 13]
1 [88, 101, 13]
1 [35, 101, 13]
1 [48, 138, 84]
1 [48, 138, 154]
1 [48, 84, 154]
1 [138, 84, 154]
1 [8, 82, 109]
1 [8, 82, 127]
1 [8, 109, 127]
1 [82, 109, 127]
1 [72, 51, 117]
1 [72, 51, 135]
1 [72, 117, 135]
1 [51, 117, 135]
1 [123, 92, 21]
1 [123, 92, 54]
1 [123, 21, 54]
1 [92, 21, 54]
1 [114, 18, 74]
1 [114, 18, 166]
1 [114, 74, 166]
1 [18, 74, 166]
1 [122, 11, 148]
1 [122, 11, 71]
1 [122, 148, 71]
1 [11, 148, 71]
1 [48, 80, 138]
1 [48, 80, 84]
1 [48, 138, 84]
1 [80, 138, 84]
1 [152, 27, 59]
1 [152, 27, 124]
1 [152, 59, 124]
1 [27, 59, 124]
1 [78, 46, 126]
1 [78, 46, 21]
1 [78, 126, 21]
1 [46, 126, 21]
1 [18, 114, 166]
1 [18, 114, 53]
1 [18, 166, 53]
1 [114, 166, 53]
1 [112, 40, 20]
1 [112, 40, 69]
1 [112, 20, 69]
1 [40, 20, 69]
1 [90, 36, 86]
1 [90, 36, 7]
1 [90, 86, 7]
1 [36, 86, 7]
1 [136, 65, 164]
1 [136, 65, 116]
1 [136, 164, 116]
1 [65, 164, 116]
1 [8, 40, 82]
1 [8, 40, 69]
1 [8, 82, 69]
1 [40, 82, 69]
1 [104, 57, 140]
1 [104, 57, 28]
1 [104, 140, 28]
1 [57, 140, 28]
1 [72, 131, 157]
1 [72, 131, 6]
1 [72, 157, 6]
1 [131, 157, 6]
1 [129, 58, 150]
1 [129, 58, 17]
1 [129, 150, 17]
1 [58, 150, 17]
1 [114, 74, 18]
1 [114, 74, 38]
1 [114, 18, 38]
1 [74, 18, 38]
1 [81, 106, 4]
1 [81, 106, 31]
1 [81, 4, 31]
1 [106, 4, 31]
1 [108, 53, 38]
1 [108, 53, 166]
1 [108, 38, 166]
1 [53, 38, 166]
1 [148, 122, 140]
1 [148, 122, 71]
1 [148, 140, 71]
1 [122, 140, 71]
1 [9, 156, 165]
1 [9, 156, 61]
1 [9, 165, 61]
1 [156, 165, 61]
1 [26, 139, 109]
1 [26, 139, 159]
1 [26, 109, 159]
1 [139, 109, 159]
1 [120, 41, 93]
1 [120, 41, 79]
1 [120, 93, 79]
1 [41, 93, 79]
