0.7689,1.0647,2.0165,2.5559,2.8623,2.2756,0.3795,0.3795,0.3795
0.5470,1.2175,2.9446,5.4337,6.3770,6.8061,7.1306,5.1044,5.1044
0.3960,0.8732,2.5925,6.5272,11.0180,12.9478,19.3783,19.7897,22.4711
0.0566,0.4964,1.7677,6.2184,12.3349,16.6657,26.6714,34.9867,41.7311
0.0693,0.3212,1.1953,4.5822,9.3600,15.7163,27.7906,35.9731,47.1069
0.0849,0.2366,0.8158,4.0922,8.2251,12.8742,24.7218,38.6156,47.2329
0.0000,0.1939,0.5946,3.3237,7.1446,10.2949,24.2424,33.0065,46.1747
0.0000,0.1058,0.4578,3.4613,6.0436,10.8540,21.1896,34.1669,45.4744
0.0000,0.1058,0.4996,2.7617,4.7650,9.1967,19.7475,30.0919,44.9510
0.0000,0.1058,0.3464,2.1861,5.2714,7.3825,17.1899,30.0294,42.6072
0.0000,0.0849,0.3980,2.2276,4.5774,7.0575,15.7074,25.4449,38.9402
0.0000,0.1200,0.3359,1.9651,4.6017,6.6713,15.3658,23.9021,37.1334
0.0000,0.0938,0.4817,1.9356,3.8256,6.3265,13.7591,23.4725,34.4496
