0.4800,0.6984,1.3249,1.3801,1.1435,0.8462
0.2258,0.5649,1.7079,2.3389,2.5181,2.5946
0.1686,0.4930,1.4712,2.8057,4.0672,4.6649
0.0173,0.1945,0.7609,2.5441,4.4850,5.7284
0.0277,0.1112,0.4286,1.8285,3.3342,5.3566
0.0315,0.0866,0.3175,1.4930,2.8381,4.3475
0.0000,0.0782,0.2209,1.1578,2.5907,3.5950
0.0000,0.0369,0.1737,1.2844,2.2456,3.5452
0.0000,0.0369,0.1902,1.0478,1.9226,3.2260
0.0000,0.0369,0.1272,0.8794,1.9282,2.9140
0.0000,0.0259,0.1368,0.7655,1.9006,2.5485
0.0000,0.0375,0.1202,0.7283,1.6320,2.4291
0.0000,0.0298,0.1699,0.7200,1.4940,2.2628
