0.7890,1.1250,2.3340,2.3324,2.3672,1.7860
0.7373,1.6602,4.0208,6.5350,6.8236,6.1712
0.5279,1.1064,3.6094,9.2731,15.1951,16.6646
0.0876,0.6855,2.5184,9.2235,18.2325,24.2505
0.0913,0.4692,1.7841,6.7963,13.9450,23.2298
0.1187,0.3365,1.1698,6.1448,12.4188,19.4494
0.0000,0.3715,0.8446,5.0144,10.7882,15.5915
0.0000,0.1539,0.6424,5.1812,9.0474,15.5615
0.0000,0.1539,0.6987,4.1169,7.1281,13.8819
0.0000,0.1539,0.5480,3.6870,7.9374,12.5218
0.0000,0.1314,0.5805,3.0510,6.8291,10.5618
0.0000,0.1834,0.4771,2.9179,6.4540,10.0187
0.0000,0.1421,0.5642,2.8702,5.7164,9.0239
