0.5281,0.9368,1.6307,2.0999,3.2016,2.5697
0.1626,0.4546,1.6670,2.7644,3.9480,5.2519
0.1246,0.4366,1.4146,2.6668,3.6322,4.3394
0.0097,0.1349,0.6003,2.1015,3.4036,4.1389
0.0190,0.0702,0.2982,1.4741,2.4735,3.8275
0.0208,0.0571,0.2278,1.0922,1.9998,3.0134
0.0000,0.0459,0.1482,0.7948,1.9511,2.6045
0.0000,0.0234,0.1181,0.9428,1.7187,2.5132
0.0000,0.0234,0.1293,0.7830,1.5745,2.3378
0.0000,0.0234,0.0896,0.6856,1.4453,2.1059
0.0000,0.0146,0.0854,0.5417,1.2958,1.9124
0.0000,0.0216,0.0771,0.5167,1.2308,1.8359
0.0000,0.0173,0.1194,0.5130,1.1780,1.6547
